,,,,,,,,,,,,,,,,,,,,,,,,,
Part A: Seasonally Adjusted (by Commodity/Service),,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 7. U.S. Exports of Goods by End-Use Category and Commodity,,,,,,,,,,,,,,,,,,,,,,,,,
In millions of dollars. Details may not equal totals due to seasonal adjustment and rounding. The commodities in this exhibit are ranked ,,,,,,,,,,,,,,,,,,,,,,,,,
on the monthly change within each major commodity grouping. (-) Represents zero or less than one-half of measurement shown. (R) - Revised.,,,,,,,,,,,,,,,,,,,,,,,,,
Item (1),February,January,Monthly ,Year-to-Date,Year-to-Date,Year-to-Date,,,,,,,,,,,,,,,,,,,
Agric. industry-unmanufactured,352,328,24,679,728,-49,,,,,,,,,,,,,,,,,,,
Finished metal shapes,"1,678","1,655",23,"3,333","3,043",290,,,,,,,,,,,,,,,,,,,
Synthetic rubber-primary,301,279,22,580,614,-34,,,,,,,,,,,,,,,,,,,
Pulpwood and woodpulp,767,746,21,"1,513","1,495",18,,,,,,,,,,,,,,,,,,,
Electric energy,47,28,19,75,39,36,,,,,,,,,,,,,,,,,,,
Finished textile supplies,278,261,17,539,537,3,,,,,,,,,,,,,,,,,,,
Mineral supplies-manufactured,601,590,11,"1,191","1,048",143,,,,,,,,,,,,,,,,,,,
"Tobacco, unmanufactured",57,48,9,106,121,-16,,,,,,,,,,,,,,,,,,,
Cotton fiber cloth,187,178,9,365,343,22,,,,,,,,,,,,,,,,,,,
Leather and furs,81,74,7,154,193,-38,,,,,,,,,,,,,,,,,,,
Industrial rubber products,403,398,5,802,770,31,,,,,,,,,,,,,,,,,,,
"Tapes, audio and visual",13,9,4,22,38,-17,,,,,,,,,,,,,,,,,,,
Nontextile floor tiles,50,47,3,97,100,-3,,,,,,,,,,,,,,,,,,,
"Wood supplies, manufactured",91,88,3,179,172,8,,,,,,,,,,,,,,,,,,,
Nuclear fuel materials,69,67,2,136,92,44,,,,,,,,,,,,,,,,,,,
"Glass-plate, sheet, etc.",117,118,-1,236,236,(-),,,,,,,,,,,,,,,,,,,
"Hair, waste materials",55,58,-3,113,100,13,,,,,,,,,,,,,,,,,,,
"Shingles, molding, wallboard",414,421,-7,835,785,50,,,,,,,,,,,,,,,,,,,
Chemicals-inorganic,865,873,-8,"1,738","1,439",299,,,,,,,,,,,,,,,,,,,
Nonmetallic minerals,71,81,-10,152,140,11,,,,,,,,,,,,,,,,,,,
"Iron and steel products, other",572,616,-43,"1,188","1,076",112,,,,,,,,,,,,,,,,,,,
"Precious metals, other",806,870,-64,"1,676",930,746,,,,,,,,,,,,,,,,,,,
Copper,561,640,-79,"1,201",894,307,,,,,,,,,,,,,,,,,,,
"Nonferrous metals, other",611,716,-104,"1,327","1,337",-9,,,,,,,,,,,,,,,,,,,
Chemicals-organic,"2,482","2,614",-132,"5,096","4,754",342,,,,,,,,,,,,,,,,,,,
Natural gas liquids,"1,234","1,549",-316,"2,783","2,407",377,,,,,,,,,,,,,,,,,,,
"Capital goods, except automotive","45,549","44,891",658,"90,440","86,209","4,231",,,,,,,,,,,,,,,,,,,
Civilian aircraft,"3,988","3,761",227,"7,749","8,873","-1,124",,,,,,,,,,,,,,,,,,,
Drilling & oilfield equipment,453,273,179,726,548,178,,,,,,,,,,,,,,,,,,,
Materials handling equipment,992,868,124,"1,860","1,754",107,,,,,,,,,,,,,,,,,,,
Industrial engines,"2,114","1,996",118,"4,109","4,315",-206,,,,,,,,,,,,,,,,,,,
"Industrial machines, other","5,168","5,057",111,"10,225","9,021","1,204",,,,,,,,,,,,,,,,,,,
"Generators, accessories",993,899,94,"1,892","2,199",-307,,,,,,,,,,,,,,,,,,,
Telecommunications equipment,"3,219","3,147",72,"6,366","6,127",239,,,,,,,,,,,,,,,,,,,
Electric apparatus,"3,886","3,820",66,"7,706","7,257",450,,,,,,,,,,,,,,,,,,,
Computers,"1,330","1,270",59,"2,600","2,428",172,,,,,,,,,,,,,,,,,,,
Metalworking machine tools,620,577,43,"1,197","1,120",76,,,,,,,,,,,,,,,,,,,
"Measuring, testing, control instruments","2,152","2,117",36,"4,269","3,829",440,,,,,,,,,,,,,,,,,,,
Laboratory testing instruments,"1,036","1,015",21,"2,051","1,813",238,,,,,,,,,,,,,,,,,,,
Excavating machinery,921,903,18,"1,824","1,541",283,,,,,,,,,,,,,,,,,,,
"Food, tobacco machinery",294,276,18,570,607,-37,,,,,,,,,,,,,,,,,,,
"Textile, sewing machines",95,82,13,177,181,-4,,,,,,,,,,,,,,,,,,,
"Vessels, excluding scrap",10,1,9,11,18,-7,,,,,,,,,,,,,,,,,,,
"Photo, service industry machinery",858,856,2,"1,714","1,655",59,,,,,,,,,,,,,,,,,,,
"Commercial vessels, other",21,19,1,40,70,-30,,,,,,,,,,,,,,,,,,,
Parts-civilian aircraft,"1,888","1,891",-3,"3,780","3,918",-138,,,,,,,,,,,,,,,,,,,
Specialized mining,69,74,-5,142,146,-4,,,,,,,,,,,,,,,,,,,
Medicinal equipment,"3,097","3,103",-5,"6,200","5,838",362,,,,,,,,,,,,,,,,,,,
Business machines and equipment,193,200,-7,393,381,11,,,,,,,,,,,,,,,,,,,
"Wood, glass, plastic",365,372,-7,738,661,76,,,,,,,,,,,,,,,,,,,
"Marine engines, parts",97,105,-7,202,175,27,,,,,,,,,,,,,,,,,,,
Nonfarm tractors and parts,272,280,-9,552,427,125,,,,,,,,,,,,,,,,,,,
Railway transportation equipment,237,246,-9,484,476,7,,,,,,,,,,,,,,,,,,,
"Spacecraft, excluding military",2,15,-13,18,15,2,,,,,,,,,,,,,,,,,,,
Pulp and paper machinery,196,210,-14,405,403,3,,,,,,,,,,,,,,,,,,,
"Agricultural machinery, equipment",686,734,-48,"1,420","1,273",147,,,,,,,,,,,,,,,,,,,
Computer accessories,"2,654","2,732",-78,"5,386","4,840",546,,,,,,,,,,,,,,,,,,,
Semiconductors,"4,049","4,190",-141,"8,240","7,853",387,,,,,,,,,,,,,,,,,,,
Engines-civilian aircraft,"3,592","3,800",-208,"7,392","6,444",948,,,,,,,,,,,,,,,,,,,
"Automotive vehicles, parts, and engines","14,825","13,900",925,"28,725","27,188","1,536",,,,,,,,,,,,,,,,,,,
"Passenger cars, new and used","5,449","4,769",680,"10,218","9,929",290,,,,,,,,,,,,,,,,,,,
Other parts and accessories of vehicles,"5,359","5,098",262,"10,457","9,895",561,,,,,,,,,,,,,,,,,,,
Bodies and chassis for passenger cars,126,79,46,205,227,-22,,,,,,,,,,,,,,,,,,,
Engines and engine parts,"1,823","1,788",34,"3,611","3,250",361,,,,,,,,,,,,,,,,,,,
Automotive tires and tubes,332,298,34,630,576,54,,,,,,,,,,,,,,,,,,,
"Trucks, buses, and special purpose vehicles","1,736","1,868",-131,"3,604","3,312",291,,,,,,,,,,,,,,,,,,,
Consumer goods,"17,077","17,917",-840,"34,994","33,495","1,498",,,,,,,,,,,,,,,,,,,
Pharmaceutical preparations,"4,066","4,628",-562,"8,694","9,519",-824,,,,,,,,,,,,,,,,,,,
"Jewelry, etc.",972,"1,424",-453,"2,396","1,833",563,,,,,,,,,,,,,,,,,,,
Household appliances,546,584,-37,"1,130","1,042",88,,,,,,,,,,,,,,,,,,,
Numismatic coins,101,125,-23,226,134,92,,,,,,,,,,,,,,,,,,,
"Cell phones and other household goods, n.e.c.","2,234","2,256",-22,"4,491","4,325",166,,,,,,,,,,,,,,,,,,,
Toiletries and cosmetics,"1,080","1,099",-19,"2,178","2,104",74,,,,,,,,,,,,,,,,,,,
Musical instruments,165,182,-17,347,292,55,,,,,,,,,,,,,,,,,,,
"Apparel,household goods-nontextile",261,277,-16,538,515,23,,,,,,,,,,,,,,,,,,,
"Books, printed matter",366,382,-16,748,748,(-),,,,,,,,,,,,,,,,,,,
"Stereo equipment, etc.",165,180,-16,345,344,1,,,,,,,,,,,,,,,,,,,
"Glassware, chinaware",42,50,-8,92,96,-4,,,,,,,,,,,,,,,,,,,
"Nursery stock, etc.",37,39,-3,76,66,10,,,,,,,,,,,,,,,,,,,
Sports apparel and gear,63,64,-2,127,116,11,,,,,,,,,,,,,,,,,,,
"Tobacco, manufactured",74,74,(-),148,172,-24,,,,,,,,,,,,,,,,,,,
"Cookware, cutlery, tools",100,100,(-),200,189,11,,,,,,,,,,,,,,,,,,,
Rugs,81,79,2,161,165,-4,,,,,,,,,,,,,,,,,,,
Other consumer nondurables,598,587,11,"1,184","1,210",-26,,,,,,,,,,,,,,,,,,,
Recorded media,162,150,13,312,309,3,,,,,,,,,,,,,,,,,,,
"Furniture, household goods, etc.",400,385,15,784,761,24,,,,,,,,,,,,,,,,,,,
"Apparel, household goods - textile",594,575,19,"1,169","1,144",25,,,,,,,,,,,,,,,,,,,
"Artwork, antiques, stamps, etc.","1,318","1,286",32,"2,604","1,989",615,,,,,,,,,,,,,,,,,,,
Gem diamonds,"2,052","2,007",45,"4,060","3,666",394,,,,,,,,,,,,,,,,,,,
Pleasure boats and motors,273,206,67,479,361,117,,,,,,,,,,,,,,,,,,,
"Toys, games, and sporting goods",907,833,73,"1,740","1,617",123,,,,,,,,,,,,,,,,,,,
Televisions and video equipment,420,343,77,763,779,-16,,,,,,,,,,,,,,,,,,,
Other goods,"5,009","4,669",341,"9,678","9,340",337,,,,,,,,,,,,,,,,,,,
(1) Detailed data are presented on a Census basis. The information needed to convert to a BOP basis is not available.,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: For information on data sources, nonsampling errors, definitions, and details concerning what is included in Net Adjustments, see the",,,,,,,,,,,,,,,,,,,,,,,,,
explanatory notes in this release or at www.census.gov/ft900 or www.bea.gov/newsreleases/international/trade/tradnewsrelease.htm.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
